,Unnamed: 0,sat,track_self,track_other,lons_inter,lats_inter,x_from_coast_self,x_from_coast_other,angle_acute,angle_obtuse,close_drifters_column
73,73,TP+J1+J2+J3+S6A,207,168,66.61683967955852,17.17588967050751,679290.9951144432,957541.4589594064,0.7385615228972459,2.403031130692548,"['9423472', '9526401', '9619168', '12737', '28842', '34720', '34723', '9081', '59215', '71159', '72638', '79184', '81996', '114575', '114945', '114948', '135787', '135788', '300234063349960', '300234063943900', '300234064111550', '300534062363340', '54038']"
74,74,TP+J1+J2+J3+S6A,207,194,62.36484381107642,5.936913698632233,2005958.6393008432,1527778.190157923,0.7249263232620423,2.4166663303277507,"['9421893', '9619179', '9806375', '9806376', '43744', '43746', '53366', '59366', '59368', '59369', '63075', '70696', '79185', '92630', '116187', '145074', '300234060950430', '300234063254870', '300234063255180', '300234063259260', '300234063943840', '300234063944800', '300234064111550', '300234065412430', '300234067209250', '300534060257390']"
75,75,TP+J1+J2+J3+S6A,207,244,68.03419428772055,20.60654327158467,271252.9456707898,567286.3273013012,0.7389349474583782,2.402657706131415,"['12739', '34718', '53363', '71158', '114559', '114575', '116465', '116466', '135782', '135784', '135785', '147136', '147142', '147148', '300234066899280', '54038']"
76,76,TP+J1+J2+J3+S6A,231,14,87.87753660537558,20.607710136237355,105172.39657614465,99898.03980102876,0.7268781570130698,2.4147144965767238,"['9421849', '15710', '2134740', '26222', '26225', '53354', '53356', '53357', '67393', '114772', '116183', '116350', '116462', '122210', '122219', '300234061500010', '300234062423010', '300234062423030', '300234062426030', '300234062427010', '300234062427040', '300234065606530', '300234066210720']"
77,77,TP+J1+J2+J3+S6A,231,40,83.62537421321582,9.812114341837372,1383832.351050108,740067.8040529859,0.7173761106372387,2.4242165429525544,"['9525804', '9525829', '9811626', '12820', '15709', '2134702', '25003', '27051', '34034', '34704', '34706', '34722', '36532', '37005', '53350', '54371', '6381', '59357', '59359', '60493', '63036', '63072', '67396', '98669', '114705', '114773', '114774', '116171', '116172', '116176', '116186', '116187', '116350', '147132', '300234060079030', '300234065515570', '300234066310600', '300234066311060', '300234066311430', '44195']"
78,78,TP+J1+J2+J3+S6A,231,116,85.04275157559606,13.57018052059043,940336.4406825769,486004.90573572327,0.7198679034513817,2.421724750138411,"['9729797', '11355', '11357', '12800', '15708', '18734', '34034', '34703', '53350', '53351', '45748', '59359', '63043', '73080', '73081', '114703', '114737', '114773', '116471', '122219', '135777', '135779', '300234062423060', '300234065718130', '300234066310580', '300234066310600', '300234066311080', '300234066311280', '300234066311430', '300234066311440', '300234066311470', '300234066311490', '300234066311880', '300234066311900', '300234066315030', '53675', '54771', '72412', '72447', '92628', '93506']"
79,79,TP+J1+J2+J3+S6A,231,142,80.79060236804376,1.9887388009596545,2304093.207394588,817367.8540736792,0.709407304070286,2.432185349519507,[]
80,80,TP+J1+J2+J3+S6A,231,192,86.46014209095421,17.177008068783973,513217.1700114039,289309.0896920991,0.7232628497357572,2.418329803854036,"['9421849', '9715703', '9729797', '9811356', '11355', '11357', '12800', '12812', '15710', '2134702', '25002', '26222', '26223', '26224', '34703', '35663', '37005', '53353', '53355', '57940', '59370', '60491', '67387', '67392', '67393', '114772', '116006', '116179', '116181', '116183', '116346', '116350', '116470', '116471', '122219', '122225', '133640', '138409', '147122', '300234062421030', '300234062422030', '300234062423000', '300234062423030', '300234062424050', '300234062425030', '300234062426030', '300234062426050', '300234065606530', '300234065718080', '300234065718110', '300234066310880', '300234066310900', '300234066311050', '300234066311120', '300234066311240', '300234066311900', '53675', '72425']"
81,81,TP+J1+J2+J3+S6A,231,218,82.20799371260576,5.937442498318322,1839954.8457392808,723769.9651737423,0.7122889375359973,2.429303716053796,"['12701', '2134702', '25002', '27054', '34718', '34722', '37005', '43743', '54371', '54373', '57939', '57940', '45748', '59357', '59359', '59366', '63028', '63030', '63036', '71018', '73079', '75136', '81938', '109519', '109546', '114688', '114705', '114709', '114710', '114711', '114735', '114739', '116006', '116170', '116177', '116183', '116187', '127320', '147144', '300234060073460', '300234060074440', '300234060943960', '300234061500030', '300234062424030', '300234064111550', '300234065515570', '300234065701980', '300234066311490', '300234066315830', '300234066315860', '300234066714010', '300234066891150', '300234067203600', '54771']"
82,82,TP+J1+J2+J3+S6A,233,16,59.52996249392867,20.606646510679,531823.1102016155,390325.0546160574,0.7404633099195281,2.4011293436702648,"['9423503', '9619161', '9719829', '12676', '27069', '27139', '145876', '300234063943900', '300234065702140', '300534061174370', '300534061177380', '300534061756130', '41317', '88671']"
83,83,TP+J1+J2+J3+S6A,233,42,55.278031027089966,9.811743499115735,1810394.454880562,787641.2649302363,0.7261723620385012,2.415420291551292,"['9421843', '9421859', '9523916', '9619162', '9627317', '18869', '34211', '34708', '53367', '62202', '62558', '63072', '63928', '63929', '63935', '71138', '300234060658190', '300234063254850', '300234063349960', '300234063354000', '300234063943700', '300234063943900', '300234063944560', '300234063944760', '300234063944940', '300234063945530', '300234065410710', '300234065411970', '88652', '88671']"
84,84,TP+J1+J2+J3+S6A,233,92,60.947262509920975,23.84538887091989,144572.5222349254,174321.5585347393,0.7439889061109738,2.3976037474788194,"['9423503', '81997', '114559', '145717', '145719', '145876', '300534061756180']"
85,85,TP+J1+J2+J3+S6A,233,118,56.695334217769805,13.569523549304622,1366934.714493069,426750.8280788798,0.7272575129323463,2.414335140657447,"['9526389', '9619162', '9619163', '9619179', '2134712', '34714', '53363', '53367', '62202', '62557', '63068', '63074', '63075', '63935', '101609', '145866', '300234060659120', '300234060659190', '300234060942960', '300234060943970', '300234060944970', '300234060948960', '300234063943900', '300234063944760', '300234065411970', '300534061174370', '300534061174430', '300534061176390', '300534061657110', '37214', '39204', '88651']"
86,86,TP+J1+J2+J3+S6A,233,144,52.44336708094864,1.9886903966963776,2730609.668834262,1412646.2200297683,0.7227252447341594,2.418867408855633,[]
87,87,TP+J1+J2+J3+S6A,233,194,58.11264754632471,17.176223675159658,939834.4384873756,201060.03764257825,0.7301014653303023,2.411491188259491,"['9421859', '9421946', '9619163', '9627318', '9719829', '43748', '53363', '63074', '101609', '145866', '145870', '145876', '300234060659110', '300234060940960', '300234063943900', '300234063945480', '300234064113560', '300234065702140', '300534061173460', '300534061174370', '300534061657110', '300534061756130', '37194']"
88,88,TP+J1+J2+J3+S6A,233,220,53.86069169267152,5.93715012026601,2266503.1575094657,1060450.9662697215,0.7239633708139817,2.4176292827758115,"['34223', '34709', '43746', '46472', '62201', '62556', '63072', '63074', '63926', '63928', '71138', '114875', '300234063254850', '300234063354000', '300234063354010', '300234063707940', '300234063943900', '300234063944560', '300234063944940', '300234063945530', '300234065318960', '300234065411500', '300234065411970', '37213', '42519', '88652', '88671']"
