,gu,ve
0,0.012626487456634625,0.31714749999999997
1,0.016309985890274332,-0.06953999999999999
2,,0.0848775
3,-0.057733428859164035,0.08835
4,0.029383794211143354,-0.017745
5,0.13942812533070134,0.178
6,0.0771170675926557,0.30769
7,-0.06922781626562714,-0.1667775
8,-0.03178279678841888,-0.24901500000000001
9,,-0.024274999999999998
10,0.06934294704551962,0.57567
11,-0.037758089602238996,0.15466249999999998
12,,-0.32959249999999995
13,-0.0708172632088459,-0.0206725
14,,0.030569999999999996
15,,0.49237
16,,0.450965
17,0.10430848471534002,-0.5450325
18,,0.08438000000000001
19,-0.06042231531692756,-0.219585
20,-0.05693105088885504,-0.15857
21,0.006163644620627462,-0.066435
22,-0.012764071836026097,0.5125425
23,0.021530150843149375,0.1494875
24,-0.13043727188859477,-0.255575
25,-0.08413651918165521,-0.20917249999999998
26,0.18776043512344107,0.3473925
27,0.04023816434664939,0.08765250000000001
28,0.00954996823867977,-0.23182
29,-0.021160497376083272,-0.082265
30,0.01681700127677809,-0.10983
31,-0.005823625782643091,0.31999
32,0.03903678649924691,-0.036275
33,0.0032014432176429306,0.1477325
34,-0.008053974279604274,-0.19362000000000001
35,-4.740687405959537e-05,0.1327825
36,-0.010921764189592467,0.14876999999999999
37,0.027805995847973723,-0.0202775
38,0.062030628449181044,0.276615
39,,0.1333775
40,,-0.12675
41,0.027642888409801242,0.036417500000000005
42,-0.07749545771903543,-0.1076625
43,0.2904110192939071,0.45107749999999996
44,,0.1047625
45,0.1733912042949249,0.32915500000000003
46,-0.1395014928095245,-0.5812425
47,-0.004445962826240613,-0.047515
48,2.4597629753520065e-05,0.1532375
49,0.009591726954564929,-0.42050750000000003
50,,-0.12091750000000001
51,,-0.3301625
52,0.007524914757297692,0.212215
53,0.021266775317676477,0.25378
54,0.044463613274491484,0.0952625
55,-0.0014231114718653952,0.38141
56,,0.37473750000000006
57,0.01751914199370896,0.21919
58,0.02034502469140576,0.32041749999999997
59,-0.027104169744533075,0.1877825
60,-0.07225874610130195,0.1730575
61,-0.053804164094866415,0.1893425
62,-0.0005423461054143673,-0.22579
63,0.020964170507570296,0.13174000000000002
64,0.015922170765322895,0.22153
65,,-0.02813000000000001
66,,-0.4798
67,-0.030013950801581556,-0.0522875
68,0.03319944654789045,0.024642499999999998
69,0.06271901940549961,0.35398250000000003
70,,0.175065
71,-0.10921795350782404,-1.2045375
72,,-0.444395
73,0.19284578499924498,0.2594625
74,-0.19602758862797764,-0.565345
75,0.09064350145951597,0.709425
76,-0.16822997112614285,-0.5905024999999999
77,,0.4599925
78,0.3510248260082261,0.20615749999999997
79,0.44783108858676923,0.46617000000000003
80,,0.235555
81,0.31343457621055854,0.54267
82,-0.09671230071511921,0.312185
83,0.26417890305762226,-0.013247499999999999
84,0.26574038896779556,0.34709249999999997
85,-0.2187046888895517,-0.200895
86,-0.1847336088609188,-0.5287075
87,,0.7924525
88,-0.28232121526059756,-0.30239499999999997
89,-0.33695503598640175,0.4923725
90,,-0.2386525
91,,0.31231000000000003
92,,0.13277
93,0.02500844607752467,-0.198005
94,-0.325065181516863,-0.45887
95,-0.9717768253480328,-0.37295749999999994
96,-0.11103082381248627,-0.122095
97,0.07655022006146928,0.188975
98,-0.04195219259966062,-0.41712750000000004
99,0.13316263825365468,0.19608749999999997
100,,-0.181735
101,-0.06647145482501068,-0.170945
102,-0.06668504932728156,-0.43265
103,-0.12803195714021115,
104,-0.15588454356220025,-0.3119375
105,0.10315593658830968,0.018142500000000006
106,0.1274185910865758,0.8154475000000001
107,-0.05842786122973573,-0.2035425
108,-0.0026644205705411176,0.53213
109,-0.19012208124820362,-0.25631
110,-0.1841949212735552,-0.060927499999999996
111,-0.1871585012608794,-0.20737750000000002
112,,-0.004302499999999999
113,-0.13818829173031622,0.965775
114,-0.08129057703634601,-0.42136999999999997
115,-0.037312757884200715,-0.231485
116,-0.0740088853045563,-0.1320225
117,,-0.021915000000000004
118,-0.05138674659532895,-0.35258500000000004
119,-0.07167451033597225,-0.3760975
120,,0.217745
121,0.058344495512449024,0.445835
122,0.06070119775597793,0.44617
123,-0.017546573911231628,0.019415
124,,-0.34602499999999997
125,,-0.16125333333333333
126,-0.007995104522137864,-0.20399750000000003
127,0.0847135567807171,-0.14876999999999999
128,,-0.0194125
129,,0.16105250000000002
130,0.14439089913754233,0.409395
131,0.22812657932874555,0.045872500000000004
132,0.007576898481546995,0.2517225
133,-0.09159574291649303,-0.4968925
134,-0.1382535926035296,-0.257095
135,-0.13690051414649357,-0.18642
136,0.041762985270077754,-0.20319750000000003
137,-0.24918543176779742,-0.23512
138,,-0.32089
139,,0.8148275
140,0.17182618415743067,0.5703725000000001
141,0.36933494713247744,0.9067125
142,0.1591967067829655,0.7819499999999999
143,0.06267277710096192,0.2010375
144,-0.17825583349505722,-0.2640575
145,-0.2343661069270328,-0.5717425
146,-0.018477479616679962,
147,-0.042594607994165146,0.027254999999999995
148,-0.08676314842990296,-0.095395
149,,0.4003675
150,-0.066060210879369,-0.10565750000000002
151,0.13428452951774694,-0.33149999999999996
152,,0.414515
153,-0.11883233657008953,0.0854875
154,-0.007223252036856254,-0.12957
155,-0.09796449928033484,-0.21067249999999996
156,,-0.1335275
157,0.08105548259326849,0.34614999999999996
158,,-0.058234999999999995
159,-0.02195212894563499,-0.08816500000000002
160,,-0.04505749999999999
161,,-0.1176925
162,-0.02234590370723867,0.06825
163,-0.022790808184490793,0.21422000000000002
164,-0.015346966644234655,-0.3329475
165,-0.13211721805254162,-0.16167250000000002
