,gu,ve
0,,-0.31121
1,,0.4600225
2,-0.0739024174301475,0.15859249999999997
3,,0.08976
4,0.05235180302674692,0.2851625
5,-0.011188753289933517,0.13622
6,,0.21449749999999998
7,0.0913710988645654,0.30224
8,,0.5989
9,0.04367436067859637,0.09436749999999999
10,-0.020526605515968775,0.11716499999999999
11,,0.0948475
12,-0.011084681429815973,0.0848125
13,-0.03238980260958972,0.21056
14,,0.043477499999999995
15,,-0.452195
16,-0.25110063298029794,-0.7388575
17,,-0.1742425
18,,0.15085500000000002
19,-0.025782586713673658,-0.28064500000000003
20,-0.17279877563154336,-0.1408625
21,-0.04994510399254917,-0.4698325
22,,0.4826125
23,-0.09562533114234356,-0.13946999999999998
24,,-0.17729
25,0.012645941137658476,-0.3124925
26,,-0.40778749999999997
27,,-0.4416175
28,,0.770935
29,-0.0811693474824687,-0.1350775
30,0.1297817782503333,0.2701425
31,,0.6166575
32,0.19009402851611878,-0.1727175
33,0.21031579975145698,0.8115975
34,,0.3849825
35,,-0.46238
36,,0.2119225
37,0.04416031324456714,0.3610575
38,,0.076025
39,,-0.07295
40,,-0.1752625
41,-0.07434208266399253,-0.14523750000000002
42,0.12360363085060391,0.45098000000000005
43,0.19041767764155215,-0.28459249999999997
44,,0.79535
45,0.7546288128603795,-0.26836
46,,-0.277925
47,,0.12354499999999999
48,,-0.07558
49,0.0029692318416862746,0.161575
50,0.10524758263145412,0.34149
51,,0.2637775
52,-0.00912895555449745,-0.3285374999999999
53,,-0.25096749999999995
54,,0.057095
55,-0.07603978556876063,-0.1789225
56,-0.32565793023667955,0.3948925
57,-0.03321189343993532,-0.1939875
58,0.0013169387893260456,0.18635749999999998
59,,0.08563749999999999
60,0.056688699408980234,0.142155
61,-0.06218181685949231,-0.14055
62,,-0.306445
63,,0.076675
64,0.044670936997789214,0.271675
65,-0.016125915519971373,-0.2261825
66,0.061525425209173666,-0.032022499999999995
67,,0.3024875
68,-0.02409231608392236,0.08647750000000001
69,-0.22336952545735067,-0.6799774999999999
70,,-0.35943749999999997
71,,-0.29164500000000004
72,0.024102019788058288,0.41246999999999995
73,,0.07023750000000001
74,0.07954816476946049,0.380005
75,,0.2594575
76,0.21511943110193585,0.07784999999999999
77,-0.05089038604415104,-0.12547750000000002
78,0.10032753486315944,-0.021040000000000003
79,,0.2352225
80,-0.01778988864792165,-0.10185250000000001
81,0.05483494561529634,0.3704425
82,,-0.0222175
83,-0.031816607714772766,-0.6261875
84,,-0.1586875
85,0.008542975164928586,0.3445875
86,,-0.07200999999999999
87,0.04341547254817697,-0.09447249999999999
88,,-0.2244725
89,-0.00458224161513539,-0.2225625
90,-0.03662750841908615,0.1147225
91,,-0.063185
92,,-0.1387275
93,-0.022595540786252956,-0.058785
94,0.12129551492232554,-0.1692125
95,,0.11647666666666666
96,0.2813944113509993,0.011960000000000005
97,,0.13767000000000001
98,,-0.01967
99,,0.4205025
100,,0.39869
101,-0.21757593875446554,-0.488955
102,0.15832149007131266,0.12164749999999999
103,-0.06689453465051332,-0.20647500000000002
104,-0.11673439223578366,0.38022
105,,-0.02774
106,0.10559328705752352,0.6716175
107,-0.06381868064581805,-0.5035125
108,,-0.20862
109,-0.07344375427750094,-0.050515
110,0.291699779270402,0.16000999999999999
111,0.2523115634999905,0.117575
112,,-0.24547999999999998
113,-0.08516647324885578,0.224075
114,-0.23121468959153318,-0.32103250000000005
115,-0.14271017102315692,-0.072355
116,,0.18461000000000002
117,,-0.64593
118,,-0.0293225
119,,-0.0886475
120,,0.5338475
121,-0.324364950317855,-0.579025
122,0.12991554237541184,0.2489225
123,,-0.2301375
124,-0.006421118069075471,-0.13666999999999999
125,,-0.11915500000000001
126,,-0.5206075
127,0.05776442024831528,0.5039075
128,,0.3674475
129,,0.5851500000000001
130,-0.02101311286388096,0.1399325
131,,-0.0697025
132,-0.0499181224299502,0.10871
133,-0.016681922243900926,-0.2960125
134,0.011068624251215377,-0.046205
135,0.042505567124764776,0.02097
136,,-0.54554
137,,-0.1627675
138,-0.1342056187392131,-0.19142
139,-0.07902372986357381,-0.12324500000000001
140,,-0.372815
141,-0.010422419426108269,0.1602375
142,-0.01664279574254947,-0.2868675
143,-0.14218120777103033,-0.37977999999999995
144,,0.4621325
145,,-0.013067500000000001
146,,0.027027500000000003
147,0.08139240267993474,0.9204375
148,,0.01093
149,0.014626730400197758,-0.0440525
150,-0.022635342871545974,-0.05287
151,,0.12769250000000001
152,,0.0212675
153,-0.06510991361614651,0.23518499999999998
154,0.10002411309983472,0.12949
155,,0.27531500000000003
156,,0.5450925
157,0.29026310832670355,0.27054
158,-0.5561679800495414,-0.6052025
159,,0.1046875
160,-0.021012240146075584,0.2231025
161,0.20695781433632932,0.1362825
162,0.16255221915942786,0.1414
163,0.025856580320998815,0.033937499999999995
164,0.07327837244604067,0.2263925
165,-0.0008153773965020282,0.0629625
166,,0.13565
167,0.06402786516005012,0.1010225
168,,-0.5236675
169,,0.103715
170,-0.030883006005424107,-0.1007375
171,0.010193014722101688,0.2363275
172,0.1291572127662731,0.2608775
173,,0.33626
174,0.0025322567689367572,0.11262
175,0.011897539127691061,-0.063545
176,-0.026796496165037518,-0.302105
177,,-0.16373000000000001
178,,-0.022365
179,,0.1092175
180,,-0.057722499999999996
181,,0.11981
182,0.2595163114701144,0.31488
183,,0.3249775
184,,0.1479375
185,-0.16212255390484853,-0.6792525
186,0.3035735528296798,0.0015249999999999994
187,,-0.16247
188,,-0.1945
189,0.08188917020477263,0.28875
190,,0.3037975
191,-0.10757615385150048,-0.11747750000000001
192,,-0.34121250000000003
193,-0.08280180108381058,-0.5238625
194,,0.64684
195,,0.357775
196,0.10092649832866005,0.03032
197,,-0.1361775
198,0.022221101363896184,0.073515
199,-0.007059242664612102,0.152335
200,-0.18608552148627855,0.048267500000000005
201,0.007903230249788638,0.0900775
202,-0.18494804687511165,-0.3335425000000001
203,,-0.35087
204,-0.10026960255399524,0.009925
205,-0.17347439226455946,-0.23468
206,0.1900000545476998,0.1721
207,-0.23025665385398336,-0.4328375
208,-0.19153922455010325,-0.33577500000000005
209,-0.0516379302137398,-0.035905
210,,0.586015
211,-0.12828895062595008,-0.2825225
212,-5.884857732861614,-0.08626749999999997
213,0.07702667051938582,0.35506249999999995
214,,0.05627
215,0.008075497514375266,-0.0213075
216,-0.01826006600783932,-0.2450575
217,,-0.25907250000000004
218,,0.042945000000000004
219,,0.815195
220,,-0.202065
221,-0.10286443556181653,-0.184505
222,,0.045122499999999996
223,,0.115665
224,-0.08985584192952037,-0.5046675
225,-0.12011106573901104,-0.31337000000000004
226,0.06289560788894023,0.05525000000000001
227,,-0.18778250000000002
228,,-0.27198500000000003
229,,-0.0104675
230,,0.72334
231,-0.1460520822987572,-0.1403225
232,,0.0679925
233,-0.006760417393052955,0.027027499999999996
234,,0.188135
235,0.012348199238712972,-0.0687475
236,,0.3036125
237,,0.5671474999999999
238,-0.04041029499242818,-0.2112775
239,-0.012346434943933088,0.07330249999999999
240,-0.014372513266818073,-0.054424999999999994
241,0.009373921546729256,0.47726749999999996
242,0.011038376374721973,0.04985
243,0.001084241866626555,-0.05190499999999999
244,,0.057944999999999997
245,0.011799807753807645,0.1052825
246,,0.015220000000000001
247,,-0.1455475
248,-0.07328505382567255,-0.18129
249,,0.278235
250,,0.078495
251,0.04207249974850664,-0.1120775
252,0.19604709662102834,0.32950500000000005
253,-0.07567708161523395,-0.024267499999999997
254,,0.09474250000000001
255,,-0.08209999999999998
256,,-0.51862
257,0.035744223381946175,0.174205
258,,0.2792175
259,-0.06349734792296173,-0.0963625
260,0.012988124660331724,-0.270275
261,0.1311109915797783,0.39503
262,,0.43560499999999996
263,,-0.19101249999999997
264,0.028828638647117953,0.227655
265,,0.005325000000000002
266,0.09614202891865771,0.146565
267,-0.014938697871609216,0.137475
268,-0.012069589236031894,0.0580525
269,0.01428532732470199,0.05504250000000001
270,,0.4090025
271,,0.168155
