,gu,ve
0,-0.007088271045912238,-0.007202499999999999
1,,0.126535
2,,0.24607500000000004
3,,0.3469525
4,0.015289992422314193,0.154095
5,,0.02480749999999999
6,0.004821994495836275,0.19861499999999999
7,-0.030185741381840565,-0.012087499999999998
8,0.02377847842111047,-0.1966
9,-0.03399101570840642,-0.3248725
10,-0.03399101570840642,-0.30096
11,-0.032609850677870623,-0.20576499999999998
12,-0.032609850677870623,-0.284895
13,-0.03399101570840642,-0.305725
14,-0.03399101570840642,-0.3108225
15,-0.032609850677870623,-0.2379925
16,-0.003152962757925987,-0.1267075
17,-0.02984752061679902,-0.16441666666666666
18,-0.032609850677870623,-0.2737275
19,-0.02846635558626322,
20,-0.002220882302098973,-0.04638
21,-0.03399101570840642,-0.28450000000000003
22,-0.02846635558626322,
23,-0.03399101570840642,-0.30993750000000003
24,-0.03399101570840642,-0.31980250000000005
25,-0.032609850677870623,-0.2717525
26,-0.03399101570840642,-0.30757500000000004
27,-0.02984752061679902,-0.17689333333333335
28,-0.03399101570840642,-0.3018675
29,,0.011222500000000003
30,-0.13183394590538972,-0.1318225
31,,0.1158575
32,,-0.19051500000000002
33,,-0.0089775
34,0.006331060785608218,0.28712999999999994
35,,0.07803
36,,-0.21045499999999998
37,0.09368522308119988,0.1758675
38,0.005435086852954097,-0.242915
39,-0.13373018138839982,-0.06511
40,-0.04229727141579395,0.010957500000000002
41,,0.014797500000000002
42,-0.15251789170505656,-0.2973175
43,-0.2557173140293623,-0.14388
44,,0.6426225
45,,0.090075
46,,-0.009424999999999996
47,,0.1962275
48,,0.1348175
49,,0.1048425
50,0.012775511977827647,0.1799
51,0.02612637046747797,0.28222749999999996
52,0.013351441710564174,0.09022749999999999
53,,0.060469999999999996
54,,0.16336750000000003
55,0.1253385101882643,0.426025
56,-0.11128535499230029,-0.3561975
57,,-0.10458
58,,0.05745
59,-0.015192317784605976,-0.19755249999999996
60,,0.29356000000000004
61,,0.1064025
62,0.023019535517434082,-0.21157
63,,0.31508250000000004
64,-0.019946363165802047,-0.5536775
65,,0.15149250000000003
66,-0.14261045224143873,-0.18862250000000003
67,,0.1242675
68,0.12890987685655586,0.16993250000000001
69,-0.14764578720300148,-0.3865225
70,-0.08133432625881026,-0.3214825
71,-0.07326623206036342,-0.3244525
72,-0.1298745713878571,-0.1231575
73,,-0.07180500000000001
74,-0.054362707045060785,-0.1565175
75,-0.05322763283845255,-0.2011125
76,-0.0486873360120196,-0.285755
77,-0.03469719064755281,0.013605
78,0.0016188391479727005,-0.1592325
79,-0.11563097267834872,0.00861
80,,-0.1448075
81,,-0.08871
82,,-0.01499
83,,0.0979575
84,-0.03686218386655275,0.0545375
85,-0.021742926605109115,0.033832499999999995
86,,0.1409125
87,,0.0872075
88,0.013202459459151477,0.199385
89,0.013395304863104453,-0.06967999999999999
90,,0.11569500000000002
91,0.26773139217873354,0.47308
92,,0.15578499999999998
93,,0.011857500000000003
94,-0.04787043733354602,-0.1084825
95,-0.01645444041402174,0.3157975
96,0.19926329943350723,0.09238
97,-0.07304764649543889,0.01003
98,,-0.47447
99,-0.05465005002147567,-0.0285175
100,,-0.32489
101,,-0.147935
102,-0.10184866975735894,-0.006597499999999996
103,,0.285725
104,,0.046650000000000004
105,,-0.123005
106,,-0.457295
107,,0.14298499999999997
108,,-0.11152250000000001
109,,-0.12940000000000002
110,0.3374176241348722,0.29110250000000004
111,-0.025246938586487168,-0.048455000000000005
112,,-0.027655
113,,0.044939999999999994
114,,-0.009565
115,0.09988462654015035,0.096655
