,sat,track_self,track_other,lons_inter,lats_inter,x_from_coast_self,x_from_coast_other,angle_acute,angle_obtuse
0,HY2B,6,47,79.9250231181796,9.739719459950324,742746.0817336763,49244.359549659115,0.47108215578084817,2.670510497808945
1,HY2B,6,185,78.99229193778508,5.853117023992399,1184719.6235156609,348668.04186450876,0.4706863441401534,2.6709063094496397
2,HY2B,6,295,80.85778143905333,13.563059240159157,307756.07663356955,242650.9876097101,0.4734754888097585,2.6681171647800346
3,HY2B,6,323,78.05988467622682,1.9292116656285982,1630805.1397787486,969704.048243963,0.47117671676164924,2.6704159368281437
4,HY2B,8,49,53.81107682592579,9.738071194303165,911379.5276268073,716711.3872980917,0.47455820950340183,2.6670344440863913
5,HY2B,8,159,55.67628261720234,17.29648002334333,51152.234966877666,57266.74175212594,0.4755892692859313,2.666003384303862
6,HY2B,8,187,52.87831603955798,5.851557466314453,1353343.9019101146,1042096.0734987345,0.47401866646631297,2.6675739871234803
7,HY2B,8,297,54.74352465951919,13.5598837121446,476561.90211191593,379060.3675648018,0.4750396702525581,2.666552983337235
8,HY2B,8,325,51.94562756166235,1.9267601515640778,1799532.1871244088,1397587.0642017932,0.4736260465833998,2.6679666070063934
9,HY2B,34,75,74.32927907322099,9.737432855788708,296111.2986365635,1260902.0003113782,0.4748793549295622,2.666713298660231
10,HY2B,34,213,73.39702234696793,5.8527658802467695,737865.2511478952,1922804.622712228,0.47640184172375916,2.665190811866034
11,HY2B,34,351,72.46415824140671,1.926968289208025,1184166.8450939818,2660489.5931337057,0.47869083026446335,2.66290182332533
12,HY2B,36,325,49.148055876126506,13.55885448034502,107415.59991708366,74733.34277934844,0.4718024799852806,2.6697901736045124
13,HY2B,36,353,46.350316418195206,1.9263576199125672,1430316.6717282743,1222509.7314216364,0.47111263087643995,2.6704800227133534
14,HY2B,60,101,94.84806348256264,9.740466019314214,755653.4377646826,1441857.9558659713,0.4780685797967083,2.6635240737930848
15,HY2B,60,239,93.91517670395099,5.853252545879814,1197696.6614186773,1819120.9869769101,0.4776055396573305,2.6639871139324627
16,HY2B,60,349,95.78044193529922,13.562104450358373,320856.1033925134,229858.15117224408,0.4735257809831323,2.6680668726066608
17,HY2B,60,377,92.98263820497776,1.9288488296186235,1643839.1436231774,2232878.796644224,0.4773838483508272,2.664208805238966
18,HY2B,62,103,68.73383691993513,9.739301564224295,1254538.027862424,1765733.7902896188,0.48342107387356403,2.658171579716229
19,HY2B,62,213,70.59909148541193,17.29838043306332,394239.5126596687,620546.2764370899,0.48118834534890786,2.660404308240885
20,HY2B,62,241,67.80077996372616,5.851276280275318,1696671.2073972125,2201410.2828124543,0.48336305538707597,2.658229598202717
21,HY2B,62,351,69.66620372422678,13.5610363315235,819732.0508617044,1337430.3532560025,0.483477333889612,2.658115319700181
22,HY2B,62,379,66.86834262371701,1.9272469265204526,2142769.0921260617,2634567.287382296,0.48325415396528487,2.658338499624508
