,sat,track_self,track_other,lons_inter,lats_inter,x_from_coast_self,x_from_coast_other,angle_acute,angle_obtuse
0,TPN+J1N+J2N+J3N,3,66,73.7048129806883,9.811833596950041,344678.6368930374,1627449.6453349823,0.7175518083346029,2.42404084525519
1,TPN+J1N+J2N+J3N,3,168,70.87000739676061,1.9885620403588138,1264938.210392807,2718989.4063113807,0.7210184867145507,2.4205741668752423
2,TPN+J1N+J2N+J3N,3,244,72.28752930370793,5.93733550368254,800783.5150135332,2277753.8609575387,0.7214917435105094,2.4201009100792836
3,TPN+J1N+J2N+J3N,27,14,92.1307154820318,5.937642247490985,1201893.7875859619,1680867.6525503485,0.7147478509606192,2.426844802629174
4,TPN+J1N+J2N+J3N,27,90,93.54806190420402,9.8121614314886,745785.1998556908,1384726.1114560305,0.7174361857934216,2.4241564677963714
5,TPN+J1N+J2N+J3N,27,166,94.9654830097573,13.570719967572341,302233.94694027083,1018185.8747757098,0.7236823427265299,2.417910310863263
6,TPN+J1N+J2N+J3N,27,192,90.7134877585381,1.9894267313655636,1665978.4130032947,1961909.5450809768,0.7119149122010634,2.42967774138873
7,TPN+J1N+J2N+J3N,29,16,63.783155602793045,5.936895271649484,1822604.8458108117,1705262.0439880076,0.7243843373715847,2.4172083162182085
8,TPN+J1N+J2N+J3N,29,66,69.45257970276235,20.60700153237266,87842.74290124532,348835.1094215627,0.7311619275437679,2.4104307260460254
9,TPN+J1N+J2N+J3N,29,92,65.20040900519948,9.811463765550013,1366497.7325940123,1767453.1070653887,0.7339839158376618,2.407608737752131
10,TPN+J1N+J2N+J3N,29,168,66.61783559804415,13.569643259463968,922987.9888724533,1355280.4936983231,0.7346286059237158,2.406964047666077
11,TPN+J1N+J2N+J3N,29,194,62.36589289752754,1.988609811614583,2286695.0162426233,1872911.6390075134,0.7198900808464792,2.421702572743314
12,TPN+J1N+J2N+J3N,29,244,68.03531011134407,17.176623849589628,495849.4885656113,951053.4390893836,0.7351018627196744,2.4064907908701185
13,TPN+J1N+J2N+J3N,53,14,87.87850323094486,17.17732372901156,542816.1939331206,354112.92243409075,0.7247826247231954,2.416810028866598
14,TPN+J1N+J2N+J3N,53,40,83.62651815959347,5.937250214240827,1869599.6168685071,1095324.197310996,0.7166634984305508,2.4249291551592425
15,TPN+J1N+J2N+J3N,53,90,89.29588931721356,20.60799043782844,134775.5492058997,106041.78243677106,0.7274709595559977,2.4141216940337955
16,TPN+J1N+J2N+J3N,53,116,85.04382606682992,9.81222898840364,1413448.2525007334,811744.8541008931,0.7187672961373062,2.4228253574524867
17,TPN+J1N+J2N+J3N,53,192,86.46132122952416,13.57059791616869,969916.7026208089,598174.3118106498,0.7219496859636396,2.4196429676261535
18,TPN+J1N+J2N+J3N,53,218,82.2091119219675,1.98882679140223,2333709.2510383273,947006.1426379762,0.7108062072887017,2.4307864463010915
19,TPN+J1N+J2N+J3N,55,16,59.531000445590244,17.176598127528,951571.2960741661,378507.2527712645,0.7331123788275897,2.408480274762203
20,TPN+J1N+J2N+J3N,55,42,55.279078483906424,5.9376173709767075,2278228.514867928,1113234.1218030893,0.7247954944219496,2.4167971591678437
21,TPN+J1N+J2N+J3N,55,92,60.948221790061595,20.606905059982708,543575.704727457,488815.24170011975,0.7427119572936668,2.398880696296126
22,TPN+J1N+J2N+J3N,55,118,56.69643856637023,9.811995263638678,1822141.5261138177,828269.9030764712,0.7269899153523061,2.414602738237487
23,TPN+J1N+J2N+J3N,55,168,62.36563069060518,23.846056330690857,156279.1820840254,132851.33016770685,0.7433566473797207,2.3982360062100723
24,TPN+J1N+J2N+J3N,55,194,58.113847597911054,13.569965391093172,1378658.2118708761,509160.654514529,0.7286181223024842,2.412974531287309
25,TPN+J1N+J2N+J3N,55,220,53.861830097954325,1.9888398663775027,2742364.9493849687,1471126.150342102,0.7235726980000702,2.418019955589723
26,TPN+J1N+J2N+J3N,79,66,75.12213325199522,5.937538638644796,389143.0635093583,2083528.605080372,0.7140996227340998,2.4274930308556932
27,TPN+J1N+J2N+J3N,79,244,73.7047640298556,1.9888673678062685,853281.7765686379,2741857.6232359796,0.7180395579100064,2.423553095679787
28,TPN+J1N+J2N+J3N,81,220,49.60968730791589,13.570376500357392,142751.65992574146,107349.4024058873,0.7037374126742315,2.4378552409155616
29,TPN+J1N+J2N+J3N,103,14,93.54799194032032,1.9893654740881255,1429538.3806302757,2144958.336954398,0.711998618762835,2.429594034826958
30,TPN+J1N+J2N+J3N,103,90,94.9652550118179,5.938100352425047,965397.8157102766,1840778.0540061935,0.7146869535956373,2.4269056999941556
31,TPN+J1N+J2N+J3N,103,166,96.38267853462028,9.812813212948827,509265.676162005,1461657.6531089486,0.7209331105287456,2.4206595430610474
32,TPN+J1N+J2N+J3N,103,242,97.80009342359183,13.571229142810278,65729.16292305115,337979.15555565414,0.7198134833336562,2.421779170256137
33,TPN+J1N+J2N+J3N,105,16,65.20057551823632,1.988707408732139,2262933.254814251,2169348.846171313,0.7239638671119591,2.417628786477834
34,TPN+J1N+J2N+J3N,105,66,70.87004563332448,17.176452828176778,472112.86691907985,756866.1786017295,0.7307414572841424,2.410851196305651
35,TPN+J1N+J2N+J3N,105,92,66.61777167504228,5.936717949671575,1798874.005792998,2223579.0386012914,0.7335634455780363,2.4080292080117567
36,TPN+J1N+J2N+J3N,105,142,72.28743354389482,20.607400646341418,64042.81859414024,58005.315827739345,0.7254344966507335,2.4161581569390598
