,sat,track_self,track_other,lons_inter,lats_inter,x_from_coast_self,x_from_coast_other,angle_acute,angle_obtuse
74,HY2A,220,123,80.86040235602947,13.558145059976352,304946.1848454336,240097.51347588035,0.473538837938395,2.668053815651398
75,HY2A,220,151,78.0627071629211,1.9265277454384695,1627750.679936384,966863.8521766834,0.4713501975990649,2.6702424559907283
76,HY2A,220,261,79.9279891204347,9.736484525698206,739747.026460608,52777.59102344027,0.4711986314616183,2.670394022128175
77,HY2A,222,15,52.88113266621917,5.849478219099793,1350175.4579018166,1039305.9065676968,0.4740495713592968,2.6675430822304964
78,HY2A,222,125,54.74628406114704,13.556766445793883,473506.3137397265,376235.3792121214,0.47512272921602144,2.6664699243737715
79,HY2A,222,153,51.94856685485027,1.92563881582335,1796257.5845785432,1401090.4255716293,0.4735858715146704,2.6680067820751225
80,HY2A,222,263,53.813833639069486,9.735327292629073,908284.0138641397,720806.2800718718,0.4746369927565996,2.6669556608331937
81,HY2A,222,373,55.6791324723888,17.293364871928386,48093.90317383802,61363.066199542336,0.475629631033627,2.6659630225561664
82,HY2A,248,41,73.39935448333883,5.849860043371247,734723.7731479064,1926465.6313315982,0.47643695654640156,2.6651556970433914
83,HY2A,248,179,72.46691562588565,1.9263301783499696,1180770.5043212029,2605623.127346387,0.4782505561599158,2.663342097429877
84,HY2A,248,289,74.33217475279041,9.736413161081678,292752.44922637613,1264525.909112649,0.4749678717122391,2.666624781877554
85,HY2A,250,153,49.15065013506524,13.557961545078864,117106.63017189188,78203.1935102468,0.47185289519572904,2.669739758394064
86,HY2A,250,181,46.35264722686583,1.9258585279857865,1439972.313572895,1219476.0111749093,0.47123791511085444,2.6703547384789386
87,HY2A,274,67,93.91775918093377,5.853696192015147,1194057.251728484,1822443.209954254,0.4777144477852786,2.6638782058045143
88,HY2A,274,177,95.78314987360845,13.562277427568283,317242.65332501946,233107.55313358194,0.4736194747962111,2.667973178793582
89,HY2A,274,205,92.98496902070204,1.9286318853516113,1640277.2631749306,2222898.6007104567,0.47739257384026806,2.664200079749525
90,HY2A,274,315,94.85033719924884,9.739236724115493,752201.884624738,1419375.3733273519,0.47794504722765,2.6636476063621433
91,HY2A,276,41,70.6013573026028,17.294359308740585,404471.9314868065,624325.0103581083,0.48131490575251984,2.660277747837273
92,HY2A,276,69,67.80365461147888,5.850700000646765,1706517.9296608786,2198455.445688372,0.48345730746355525,2.658135346126238
