Unnamed: 0,sat,track_self,track_other,lons_inter,lats_inter,x_from_coast_self,x_from_coast_other,angle_acute,angle_obtuse,corrs,rmses,biass
0,TP+J1+J2+J3+S6A,3,66,75.1210195269844,9.811761304247316,179619.90371376715,1538449.3970695897,0.7143436743490658,2.4272489792407272,0.7498097495734009,0.09824239148082063,-0.05278216237328863
1,TP+J1+J2+J3+S6A,3,168,72.28623797454709,1.9885434810985012,1099873.3879430746,2748301.077167768,0.7201399948798196,2.4214526587099736,,,
2,TP+J1+J2+J3+S6A,3,244,73.70362492079687,5.937058483784181,635750.4399160394,2301969.921004863,0.7205134194409518,2.4210792341488414,0.843245855221897,0.10177940557549864,-0.028369841496789342
3,TP+J1+J2+J3+S6A,5,144,48.19121149561291,13.56977777509381,48639.55828957672,48915.12872160244,0.7020753974173584,2.4395172561724348,0.8044959511572359,0.2201252853317225,-0.08475989596090834
4,TP+J1+J2+J3+S6A,27,14,93.54700040202934,5.937695357493247,1208126.793197177,1834651.3369946512,0.7174670062811763,2.424125647308617,0.7691395960353634,0.16962575897010956,-0.06653466024208758
5,TP+J1+J2+J3+S6A,27,90,94.9643326363426,9.812391558135973,752000.4093658285,1408153.4012147365,0.7179746634403902,2.423617990149403,0.8297646322830184,0.10511097571923664,0.025112257612566923
6,TP+J1+J2+J3+S6A,27,166,96.38171059960482,13.570451053410222,308502.52905136213,249160.9341981293,0.7138138309470954,2.427778822642698,0.5162590140636273,0.07093203615923102,-0.011573195565642526
7,TP+J1+J2+J3+S6A,27,192,92.12963784429202,1.989046443724232,1672261.5620026398,2080156.55833636,0.7138516990038636,2.427740954585929,,,
8,TP+J1+J2+J3+S6A,29,16,65.19952449396749,5.936834518260786,1739964.5469587266,2125054.064918544,0.7305817349596173,2.411010918630176,0.670537962868997,0.10748389169557408,0.014797121366809904
9,TP+J1+J2+J3+S6A,29,66,70.8689221682644,20.60666664842472,5230.042207036925,259865.21055584188,0.7280587694748409,2.413533884114952,0.5079175242167083,0.06786239798777326,-0.010868212836863997
10,TP+J1+J2+J3+S6A,29,92,66.61683105235024,9.811322066196702,1283863.2154401655,1840199.0936663863,0.7341073311510629,2.4074853224387303,0.5820659425419586,0.0939574877578919,0.01685794014046272
