,track_self,track_other,lons_inter,lats_inter,x_from_coast_self,x_from_coast_other,angle_acute,angle_obtuse
0,5,246,45.36028565914045,5.878977167234449,954.1566704256255,701.0000020719683,0.699582982260113,2.4420096713296804
1,5,68,46.77802478524639,9.78547984647377,494.70339273896985,394.7463433371417,0.701038917899382,2.4405537356904112
2,5,144,48.19121149561291,13.56977777509381,48.63955828957671,48.91512872160244,0.7020753974173584,2.4395172561724348
3,81,246,46.773922071684765,1.9888075038906015,1577.592280840869,1158.9146074318137,0.7014602110073821,2.440132442582411
4,81,68,48.1958394363089,5.914252079551605,1115.6960808767876,850.5345204007959,0.7029161466466511,2.4386765069431418
5,81,144,49.613843296465184,9.787187113154115,659.7234847471417,495.15870313397477,0.7039526261646276,2.4376400274251653
6,81,220,51.025897224144906,13.569758244635619,213.88319908834336,160.83799778835652,0.7051907522444499,2.4364019013453433
7,157,68,49.60861763876633,1.988751632434033,2594.9629221514188,1312.0908904678768,0.7189207617239964,2.4226718918657966
8,157,144,51.02595032714527,5.937209340505744,2130.854844867226,948.5222267455988,0.7199572412419727,2.4216354123478205
9,157,220,52.443303151455225,9.811775524533616,1674.7469211327304,604.3293475852947,0.7211953673217952,2.420397286267998
10,157,42,53.86062290225616,13.5696830332611,1231.2719400408616,344.15462762336455,0.7234043585463146,2.4181882950434783
11,157,16,58.11251046856027,23.845547780985136,8.909170733238481,3.0519187986368417,0.7376953064273415,2.4038973471624514
12,233,144,52.44336708094864,1.9886903966963778,2730.6096688342623,1412.6462200297685,0.7227252447341594,2.4188674088556334
13,233,220,53.860691692671516,5.93715012026601,2266.503157509466,1060.4509662697214,0.7239633708139817,2.4176292827758115
14,233,42,55.278031027089966,9.811743499115737,1810.3944548805619,787.6412649302363,0.7261723620385012,2.4154202915512917
15,233,118,56.695334217769805,13.569523549304622,1366.9347144930691,426.7508280788798,0.7272575129323463,2.414335140657447
16,233,194,58.11264754632471,17.176223675159658,939.8344384873757,201.0600376425782,0.7301014653303023,2.411491188259491
17,233,16,59.52996249392867,20.606646510679,531.8231102016155,390.3250546160574,0.7404633099195281,2.4011293436702648
18,233,92,60.947262509920975,23.845388870919894,144.5725222349254,174.3215585347393,0.7439889061109738,2.3976037474788194
19,55,220,55.27809574387817,1.9885845561440818,2748.2563125361394,1524.57907107503,0.7243336710162046,2.4172589825735886
20,55,42,56.69544151729518,5.937066360534419,2284.146904751291,1243.7685929074507,0.7265426622407241,2.4150499913490693
21,55,118,58.11275106265406,9.811545842237468,1828.0513554319205,870.241559946995,0.7276278131345691,2.413964840455224
22,55,194,59.5300768202055,13.569330163285445,1384.5904728646908,628.1889466504656,0.7304717655325251,2.411120888057268
23,55,16,60.94738511515728,17.17601434063536,957.4921605948257,798.3629543255329,0.740833610121751,2.4007590434680424
