Unnamed: 0,sat,track_self,track_other,lons_inter,lats_inter,x_from_coast_self,x_from_coast_other,angle_acute,angle_obtuse,corrs,rmses,biass,ngp
0,TP+J1+J2+J3+S6A,3,66,75.1210195269844,9.811761304247316,179619.90371376715,1538449.3970695897,0.7143436743490658,2.4272489792407272,0.589407871830745,0.07414492306758944,-0.005382836114514421,99.4750656167979
1,TP+J1+J2+J3+S6A,3,168,72.28623797454709,1.9885434810985012,1099873.3879430746,2748301.077167768,0.7201399948798196,2.4214526587099736,,,,
2,TP+J1+J2+J3+S6A,3,244,73.70362492079687,5.937058483784181,635750.4399160394,2301969.921004863,0.7205134194409518,2.4210792341488414,0.8503325968957589,0.07366181561180354,0.0037589908411000722,99.73753280839895
3,TP+J1+J2+J3+S6A,5,144,48.19121149561291,13.56977777509381,48639.55828957672,48915.12872160244,0.7020753974173584,2.4395172561724348,0.6825583078730335,0.22802350638393332,0.03986030977486719,99.73753280839895
4,TP+J1+J2+J3+S6A,27,14,93.54700040202934,5.937695357493247,1208126.793197177,1834651.3369946512,0.7174670062811763,2.424125647308617,0.6895792446152258,0.1107687954064316,0.01390818386386465,100.0
5,TP+J1+J2+J3+S6A,27,90,94.9643326363426,9.812391558135973,752000.4093658285,1408153.4012147365,0.7179746634403902,2.423617990149403,0.746970774258485,0.07573837157235232,-0.0031034718600357982,99.73684210526316
6,TP+J1+J2+J3+S6A,27,166,96.38171059960482,13.570451053410222,308502.52905136213,249160.9341981293,0.7138138309470954,2.427778822642698,0.5038783783600633,0.060840316255938144,-0.008966347361812083,100.0
7,TP+J1+J2+J3+S6A,27,192,92.12963784429202,1.989046443724232,1672261.5620026398,2080156.55833636,0.7138516990038636,2.427740954585929,,,,
8,TP+J1+J2+J3+S6A,29,16,65.19952449396749,5.936834518260786,1739964.5469587266,2125054.064918544,0.7305817349596173,2.411010918630176,0.5806977505809168,0.0753953453574092,-0.01167630623522227,100.0
9,TP+J1+J2+J3+S6A,29,66,70.8689221682644,20.60666664842472,5230.042207036925,259865.21055584188,0.7280587694748409,2.413533884114952,0.4816245231734006,0.029601514716469726,-0.007280385855317122,99.47368421052632
10,TP+J1+J2+J3+S6A,29,92,66.61683105235024,9.811322066196702,1283863.2154401655,1840199.0936663863,0.7341073311510629,2.4074853224387303,0.7014655838215202,0.059322647428268385,-0.0036632304279940195,100.0
11,TP+J1+J2+J3+S6A,29,168,68.03418681486406,13.569205686645187,840386.2624987301,1384641.254301407,0.7338550900055949,2.407737563584198,0.44886529187429,0.057210770875951916,-0.0007426967628430673,100.0
12,TP+J1+J2+J3+S6A,29,194,63.78218282691208,1.9884713906811788,2204066.349817578,1991889.328443221,0.7202198903703914,2.4213727632194018,,,,
13,TP+J1+J2+J3+S6A,29,244,69.45154400223582,17.17605110652384,413265.7575375314,975305.9236020998,0.734228514566727,2.4073641390230662,0.4753618808324804,0.06478429599470584,0.007451846815348638,99.73684210526316
14,TP+J1+J2+J3+S6A,53,14,89.29491385498248,17.177067429587602,601933.3728940549,507936.0380624487,0.7284578424529335,2.41313481113686,0.6574187918590432,0.1257866306788034,-0.004542217600269614,100.0
15,TP+J1+J2+J3+S6A,53,40,85.04279678053466,5.937449950906696,1928673.391262212,1196194.373371981,0.7189557960771024,2.422636857512691,0.755667941203158,0.14823240047496605,-9.065744841009261e-05,100.0
16,TP+J1+J2+J3+S6A,53,90,90.71231217771144,20.60771605056185,193894.21063427368,129527.35771886182,0.7289654996121474,2.412627153977646,0.6953816121049585,0.11909853078888574,-0.008364963526525177,100.0
17,TP+J1+J2+J3+S6A,53,116,86.46014941647574,9.812108733547731,1472554.017492327,929504.3836248948,0.7214475888912455,2.420145064698548,0.7431392600928296,0.08756808941278477,0.01214231248314296,100.0
