,track_self,track_other,lons_inter,lats_inter
0,12,313,45.644726146735216,6.4264103180599275
1,12,399,46.38223967497678,8.263202667943233
2,12,485,47.11804898466123,10.095750627061651
3,12,83,47.853418251038235,11.910883135633936
4,12,169,48.59090618575917,13.68866280728478
5,242,313,43.42681706117165,11.910901173965234
6,328,399,44.902188234044615,11.910800868479658
7,98,141,44.90252941394621,0.9118886183320406
8,98,313,46.3807694782897,4.599029510044209
9,98,399,47.11973820567742,6.435258506034574
10,98,485,47.857609113634446,8.268759581618703
11,98,83,48.593549224663974,10.097462909785055
12,98,169,49.32863621869441,11.910335413339187
13,98,255,50.066477566440284,13.688752317659672
14,414,485,46.377721244667846,11.911261033881662
15,184,227,46.37771100421733,0.9120871191690415
16,184,313,47.115466543778425,2.7686848434701044
17,184,399,47.85421084115265,4.6148142472194
18,184,485,48.595044808449074,6.447016685761344
19,184,83,49.3343173258078,8.275357405605448
20,184,169,50.070557801558735,10.096199395271409
21,184,255,50.80402779322054,11.910189528883077
22,184,341,51.54169199675998,13.688922801209985
23,184,427,52.27939589636402,15.443784984045699
24,270,313,47.85320550118846,0.9119496350561164
25,270,399,48.590802548349366,2.7683781719806997
26,270,485,49.32869389133357,4.620413125614589
27,270,83,50.06643437639326,6.46375902098659
28,270,169,50.803900114066636,8.294872212892367
29,270,255,51.541698261351385,10.111959884294194
30,270,341,52.27934540354134,11.910889264545705
31,270,427,53.01704046649838,13.689065282693022
32,270,25,53.75490506587139,15.444127643654214
33,356,399,49.32849299785043,0.9117568249900552
34,356,485,50.066347697999305,2.768869019751449
35,356,83,50.80408127720147,4.620469005504594
36,356,169,51.54164078447729,6.463230180364158
37,356,255,52.27937847528901,8.295006757982849
38,356,341,53.01704223539396,10.111596588303145
39,356,427,53.75478250712843,11.910582034508446
40,356,25,54.49256948895124,13.689085163391667
41,356,111,55.23044082766575,15.444207022687042
42,356,197,55.96797623738906,17.172709780893115
43,356,53,58.919009398538414,23.787178034413472
44,442,485,50.8040847151977,0.911940592229827
